[2023-05-19 21:16:08,644] Starting program on cuda:0
[2023-05-19 21:16:09,050] Data created with 2 images
[2023-05-19 21:16:10,016] Model created
[2023-05-19 21:17:29,737] Starting program on cuda:0
[2023-05-19 21:17:29,739] Data created with 2 images
[2023-05-19 21:17:30,095] Model created
[2023-05-19 21:17:30,736] Diffusion created with loss: LossType.MSE
[2023-05-19 21:17:30,737] 1 models created
[2023-05-22 08:38:29,123] Starting program on cuda:0
[2023-05-22 08:38:29,516] Data created with 2 images
[2023-05-22 08:38:30,281] Model created
[2023-05-22 08:38:35,574] Diffusion created with loss: LossType.MSE
[2023-05-22 08:38:35,574] 1 models created
[2023-05-22 08:38:35,574] Sampling images
[2023-05-22 08:55:09,347] Starting program on cuda:0
[2023-05-22 08:55:09,350] Data created with 2 images
[2023-05-22 08:55:09,697] Model created
[2023-05-22 08:55:10,199] Diffusion created with loss: LossType.MSE
[2023-05-22 08:55:10,199] 1 models created
[2023-05-22 08:55:10,199] Sampling images
[2023-05-23 13:44:10,878] Starting program on cuda:0
[2023-05-23 13:44:11,193] Data created with 2 images
[2023-05-23 13:44:12,025] Model created
[2023-05-23 13:44:17,006] Diffusion created with loss: LossType.MSE
[2023-05-23 13:44:17,006] 1 models created
[2023-05-23 13:44:17,006] Sampling images
[2023-05-24 06:49:56,566] Starting program on cuda:0
[2023-05-24 06:49:56,882] Data created with 2 images
[2023-05-24 06:49:57,797] Model created
[2023-05-24 06:50:02,754] Diffusion created with loss: LossType.MSE
[2023-05-24 06:50:02,754] 1 models created
[2023-05-24 06:50:02,754] Sampling images
[2023-05-24 07:31:49,938] Starting program on cuda:0
[2023-05-24 07:31:49,954] Data created with 2 images
[2023-05-24 07:31:50,315] Model created
[2023-05-24 07:31:50,817] Diffusion created with loss: LossType.MSE
[2023-05-24 07:31:50,817] 1 models created
[2023-05-24 07:31:50,817] Sampling images
[2023-05-24 07:51:46,796] Starting program on cuda:0
[2023-05-24 07:51:46,796] Data created with 2 images
[2023-05-24 07:51:47,267] Model created
[2023-05-24 07:51:47,816] Diffusion created with loss: LossType.MSE
[2023-05-24 07:51:47,816] 1 models created
[2023-05-24 07:51:47,816] Sampling images
[2023-05-25 10:02:47,081] Starting program on cuda:0
[2023-05-25 10:02:47,439] Data created with 2 images
[2023-05-25 10:02:48,308] Model created
[2023-05-25 10:02:53,659] Diffusion created with loss: LossType.MSE
[2023-05-25 10:02:53,659] 1 models created
[2023-05-25 10:02:53,659] Sampling images
[2023-05-25 13:59:00,075] Starting program on cuda:0
[2023-05-25 13:59:00,075] Data created with 2 images
[2023-05-25 13:59:00,485] Model created
[2023-05-25 13:59:01,303] Diffusion created with loss: LossType.MSE
[2023-05-25 13:59:01,303] 1 models created
[2023-05-25 13:59:01,303] Sampling images
[2023-05-25 13:59:24,864] Starting program on cuda:0
[2023-05-25 13:59:24,868] Data created with 2 images
[2023-05-25 13:59:25,798] Model created
[2023-05-25 13:59:25,798] Diffusion created with loss: LossType.MSE
[2023-05-25 13:59:25,798] Schedule sampler created
[2023-05-25 13:59:26,152] tag: Orientation (274) - type: short (3) - value: b'\x00\x01'
[2023-05-25 13:59:26,152] tag: XResolution (282) - type: rational (5) Tag Location: 34 - Data Location: 98 - value: b"\x00-\xc6\xc0\x00\x00'\x10"
[2023-05-25 13:59:26,152] tag: YResolution (283) - type: rational (5) Tag Location: 46 - Data Location: 106 - value: b"\x00-\xc6\xc0\x00\x00'\x10"
[2023-05-25 13:59:26,167] tag: ResolutionUnit (296) - type: short (3) - value: b'\x00\x02'
[2023-05-25 13:59:26,167] tag: Software (305) - type: string (2) Tag Location: 70 - Data Location: 114 - value: b'Adobe Photoshop CS5 Macintosh\x00'
[2023-05-25 13:59:26,167] tag: DateTime (306) - type: string (2) Tag Location: 82 - Data Location: 144 - value: b'2013:02:06 15:33:41\x00'
[2023-05-25 13:59:26,167] tag: ExifIFD (34665) - type: long (4) - value: b'\x00\x00\x00\xa4'
[2023-05-25 13:59:26,678] Training on image 1 with shape torch.Size([1, 3, 32, 32])
[2023-05-25 14:01:31,938] Starting program on cuda:0
[2023-05-25 14:01:31,938] Data created with 2 images
[2023-05-25 14:01:32,350] Model created
[2023-05-25 14:01:33,200] Diffusion created with loss: LossType.MSE
[2023-05-25 14:01:33,200] 1 models created
[2023-05-25 14:01:33,200] Sampling images
[2023-05-25 14:17:54,410] Starting program on cpu
[2023-05-25 14:17:54,536] Data created with 2 images
[2023-05-25 14:17:54,898] Model created
[2023-05-25 14:17:55,180] Diffusion created with loss: LossType.MSE
[2023-05-25 14:17:55,180] 1 models created
[2023-05-25 14:17:55,180] Sampling images
[2023-05-25 14:21:21,643] Starting program on cpu
[2023-05-25 14:21:21,643] Data created with 2 images
[2023-05-25 14:21:21,965] Model created
[2023-05-25 14:21:22,184] Diffusion created with loss: LossType.MSE
[2023-05-25 14:21:22,184] 1 models created
[2023-05-25 14:21:22,184] Sampling images
[2023-05-25 14:22:04,921] Starting program on cpu
[2023-05-25 14:22:04,921] Data created with 2 images
[2023-05-25 14:22:05,251] Model created
[2023-05-25 14:22:05,486] Diffusion created with loss: LossType.MSE
[2023-05-25 14:22:05,486] 1 models created
[2023-05-25 14:22:05,486] Sampling images
[2023-05-25 14:24:28,611] Starting program on cpu
[2023-05-25 14:24:28,627] Data created with 2 images
[2023-05-25 14:24:28,957] Model created
[2023-05-25 14:24:29,177] Diffusion created with loss: LossType.MSE
[2023-05-25 14:24:29,177] 1 models created
[2023-05-25 14:24:29,177] Sampling images
[2023-05-25 14:24:43,253] Starting program on cpu
[2023-05-25 14:24:43,269] Data created with 2 images
[2023-05-25 14:24:43,599] Model created
[2023-05-25 14:24:43,803] Diffusion created with loss: LossType.MSE
[2023-05-25 14:24:43,803] 1 models created
[2023-05-25 14:24:43,803] Sampling images
[2023-05-25 14:32:33,946] Starting program on cpu
[2023-05-25 14:32:33,946] Data created with 2 images
[2023-05-25 14:32:34,276] Model created
